35,泰山,財運と名誉運が揃い、人物としては理想に近い人。但し、他に玉堂星と龍高星(甲・乙)が加わらないと、真の創作力・創造力はならない。順風満帆の人生でり、成功すると大器となる。,「異常干支」の別格。教養の度合いが異常性に大いに関係する干支。知的生活をすると異常性が現れ、正規の教育を身に付けないと異常性は現れにくい。ただし、異常性が現れないだけであり、消えるのではない。身強の配偶者を得ることで異常性が押えられ現れ難くなる。,参籠の業,人生を平凡に過ごすと、運気は限りなく下がる(天才的な人)。周囲に理解者は無く、孤独の囚人。配偶者が離婚しない。家から出れない。自由が無い人生。心身ともに何かに捉われ身動きが出来ず、努力が周囲から理解され難い傾向が出る。男性は50代、女性は40代で精神異常になる確立が高い。20代で一度、その傾向が出る。特に戊戌は精神病に成り易い。【注】母の育て方によって発病するかが決まる。母親が思ったことと言っている事が違う、矛盾を抱えている場合、子供は直感的にそれが分り、どうして良いか分らず発病しやすい。
36,柔土,人が集まり群れる土地。つまり寄り添う、協力する、助け合う質を所有。仕事の苦労がある。強い火性と燥土の存在が吉。,特に異常性を発揮する。身体が一種の霊感を所有。肉体面の異常が体操・ヨガ等に才能となって現れることが有る。「戦場の花嫁」(戦いの日々を送る、家族の中で一人浮く)との意味もあり、女性が所有すると辛い干支。,,
37,歳白,故郷を離れ、自己主張を強く打ち出し、自信を持って生きることで人生の成功に結びつく。火性、木性と土性多の環境が救いとなる。水性は厳禁。,両親に過保護に育てられると健康面に異常が現れる。特に内臓の虚弱となる。また、それが原因で死ぬことにはならない。,,
38,胎恩の金,思考力があり、聡明で、知恵の高い人。,,一人業の業,未婚、独身で財運を得て、結婚すると崩壊する。家系の恩恵大で成功は財(禄分)で名誉は無し(官分)。男性は結婚に失敗しやすく、数回の結婚暦で運気(財運)上昇。女性は夫との離別か夫の死後、一気に運(財運)が上昇するが、再婚すると運気が下がる。辛丑の方が年齢と共に業の力が強くなる。辛未は速攻で鮮明に現れる。全部自分一人でやってしまわなければならない業。社長は北の部屋に入る。北の席に座る事で改良できる。
39,北虎,物事の胎動、新しい出発点の意味があり、人間関係においては融和とし、心は寛なり。水源の金性を吉とする。,,,
40,妙母,男性に生まれた場合、子煩悩になるが、将来、我が子に親孝行をさせる傾向がある。他に水源(庚・辛)、将来成長する木性(甲・乙)が吉となる。,,,
41,青金神,先祖を大切にする人。安定性が高く、運が人生の前進と共に確実に発展する良運の人生となる。晩年運の人。,,不族の業,婚姻関係に欠陥を生じ、人生上で波乱・動乱が多い。結婚してから、その現象が出る。正常な結婚生活の場合、子供は出来ないか女の子ができやすい。悠久家系(長く続いている家)の最後(家系が自分の代で終わり、途絶える)。平凡な家系に生まれた場合は、子供の天折(４０才までの死)、突然死、親の突然死。集団の中に長く居れない現象が不族の業。
42,挿花,きらびやかな華で芸能の星。踊り・舞い等の動きのある芸能分野に能力発揮の人。土性と水性と金性がある事を吉とする。,,祇王の業,性格が素直すぎて、他人にだまされやすい。正反対の結婚観で、数婚になりやすい婚姻関係に問題が生じる業。結婚して深刻な問題を乗り越えると一度の結婚で安定する。晩年は業が消えて、苦労は無く平穏な人生となる。女性は晩婚で吉
43,中天の烈光,南の王様。骨肉縁の薄い人。女性は仕事を持つこと。エネルギーを洩らすことを最善とする。,,,
44,薫煙の香火,女性が所有すると、子供運が良好となる。冷静に現れるが、内面に情熱を秘めている。木性・金性の存在が望ましい。,,徳攻の業,先祖の徳が強すぎ、徳が攻めてきて(人が寄って来て)「慇懃無礼」に感じる。周囲から好感を持たれ、大勢にかつがれて、運を上げるが心に虚しさが残る。男性の場合、女性の情に弱い。人生の後半で別宅を所有。特に日干にあると愛人を持ってしまう。
45,淵泥,人間社会の平和を守る山。様々な在り方で人々を守る。木性を吉とする。,,,
46,花園,野菜や花を作り出す畑。美しいが内容が伴わない傾向あり。表面がどんなに華やかな人生であっても、実質を地味に堅実に暮らすことで良好な人生となる。丙と癸を吉とする。,,倒柱の業,単子(一人っ子)が多く、男女を問わず、運が強い。無欲が特色で、出世欲がなく、人生を淡々と過ごすと吉。親の代は富貴。それを継承すると本人は苦しい。実家を破産、大黒柱を倒すと本人は伸びる。
47,荒金神,性格が猛々しい。ざっくばらんな面のある人。働き出したら休むことを知らない人。火性、水性を吉とする。,,傷体の業,人生を平凡に過ごすと、運気は限りなく下がる。いじめ、大怪我、障害、荒行等で身体に傷が残ってしまう時に運が伸びる。自殺未遂で運が伸びる(先祖に事故死または自殺者がいる)。
48,水府の珠玉,他人の力を借りて、自分が伸びる人。人に認められることが原動力となる。世の中を浄化する役割。木性と金性を吉。,形態の異常性(肉体面)。五体満足な身体で生まれても怪我をし易く、身体に傷跡が残りやすい。,,
49,玄王,本人の代で新しい物事を作り上げる人。どの様な環境にでも合わせられる果てしない大海のスケールのある人。女性が所有すると色事で天下を取れる。木性を持って良好となる。,,不子の業,逆縁(子供が先に死ぬ、夫婦の年齢差)、自分と縦線の直系が途絶えて、孤独になる。兄弟姉妹は残るが、子供の事故死、瞬間死の可能性大。子供との縁が薄く、自分の思い通りにならない子供が生まれる傾向にある。
50,園雨,自分だけは恵まれ、恩恵を得る。他人の環境に左右されること無く、自らのペースを保つ人。木性を吉とする。,,,
51,果実の木,人生を階段状に上り詰める人。下ることの無い人生となる。人生の最後には高いポジションにいる。ただし積み重ねの人生であり一足飛びの人生ではない。指導者・引率者の意味あり。,,,
52,五穀秀実の柔木,組織・集団の要となる。人の役目で専務・重役。家庭では良き補佐役。精気が最大安定の形。乙の本質の群生を表し、人間界にあって協調を意味する。気を強めるよりは、洩らす事でバランスをとること。,,,
53,大輪,六秀ともいう。若年に自らの運が開発された場合は、晩年に向かって幸運の度合いが増す人。優しさと冷静さを兼ね揃えている。,,不信の業,人生で最も大切なときに、他人から裏切られる(両親を含む)。裏切られた都度、心が強まり、強運に恵まれる。他人は信じられず、孤独の森の中で不信感が一生続く。執着を捨てて、無我の境地で前進すること。
54,離灯,創作能力所有の人。芸術的な分野に能力発揮。,先祖の運気の強い家系から生まれ易い。家系の運気の強さが本人の代で終わり、本人も含め次から衰退となっていく。経済的に貧しい環境に入ると異常が現れにくい。経済的に豊かな環境に入ると異常性が現れる。,,
55,騰馬,時代の先覚者。政治家に向く。厳しい人生を歩むことで、将来の伸びに結びつく。適度な金性・水性が吉。,,,
56,離通,人に知識を教えたり、人を育てることに向いている。火性を吉とする。,,,
57,正金神,戦いの神の星。攻撃的気質が非常に強い人。激しい気質の持ち主。激しく厳格な人生を渡る人。直情型、激情型。荒神様の役割。丁を吉とする。,,,
58,秋玉,女性は概ね頭が良く、独身時代に幸運が続く。水性を吉とする。,,,
59,西湖,連山に昇るが如くの人生。自らの努力を必要とするが、最後は高いところに到達する人。積み重ねの人生で、名誉名声運の強い人。水性と火性を吉。,,,
60,崑崙還元の水,心の中が分かりにくい人。自己表現をしない人。陰水として最強。他に木性を持つことで、穏やかな方向に行く。,,倒異の業,自分と異質なものを倒す、業の中でも特に厄介な業とされている。本人が男性の場合、息子の嫁を倒すか、嫁の逃亡、死亡、事故死を引き起こす。本人が女性の場合、息子の嫁を追い出してしまうが、男性程は強く出ない。本人が社長の場合、社員の妻の病死、事故死、禍が発生。外から来た異性を倒す業。自分自身の家庭運は良いが、子供の結婚相手などに不運が生じやすい。
